OBJECTID	NUTS_ID	CNTR_CODE	NUTS_NAME	NAME_LATN	NAME_ASCI	NAME_HTML
1	UKM22	UK	Clackmannanshire and Fife	Clackmannanshire and Fife	Clackmannanshire and Fife	Clackmannanshire and Fife
2	UKM23	UK	East Lothian and Midlothian	East Lothian and Midlothian	East Lothian and Midlothian	East Lothian and Midlothian
3	UKM24	UK	Scottish Borders	Scottish Borders	Scottish Borders	Scottish Borders
4	UKM25	UK	Edinburgh, City of	Edinburgh, City of	Edinburgh, City of	Edinburgh, City of
5	UKM26	UK	Falkirk	Falkirk	Falkirk	Falkirk
6	UKM27	UK	Perth & Kinross and Stirling	Perth & Kinross and Stirling	Perth & Kinross and Stirling	Perth & Kinross and Stirling
7	UKM28	UK	West Lothian	West Lothian	West Lothian	West Lothian
8	UKM3	UK	South Western Scotland	South Western Scotland	South Western Scotland	South Western Scotland
9	UKM31	UK	East Dunbartonshire, West Dunbartonshire and Helensburgh & Lomond	East Dunbartonshire, West Dunbartonshire and Helensburgh & Lomond	East Dunbartonshire, West Dunbartonshire and Helensburgh & Lomond	East Dunbartonshire, West Dunbartonshire and Helensburgh & Lomond
10	UKM32	UK	Dumfries & Galloway	Dumfries & Galloway	Dumfries & Galloway	Dumfries & Galloway
11	UKM33	UK	East Ayrshire and North Ayrshire mainland	East Ayrshire and North Ayrshire mainland	East Ayrshire and North Ayrshire mainland	East Ayrshire and North Ayrshire mainland
12	UKM34	UK	Glasgow City	Glasgow City	Glasgow City	Glasgow City
13	UKM35	UK	Inverclyde, East Renfrewshire and Renfrewshire	Inverclyde, East Renfrewshire and Renfrewshire	Inverclyde, East Renfrewshire and Renfrewshire	Inverclyde, East Renfrewshire and Renfrewshire
14	UKM36	UK	North Lanarkshire	North Lanarkshire	North Lanarkshire	North Lanarkshire
15	UKM37	UK	South Ayrshire	South Ayrshire	South Ayrshire	South Ayrshire
16	UKM38	UK	South Lanarkshire	South Lanarkshire	South Lanarkshire	South Lanarkshire
17	UKM5	UK	North Eastern Scotland	North Eastern Scotland	North Eastern Scotland	North Eastern Scotland
18	UKM50	UK	Aberdeen City and Aberdeenshire	Aberdeen City and Aberdeenshire	Aberdeen City and Aberdeenshire	Aberdeen City and Aberdeenshire
19	UKM6	UK	Highlands and Islands	Highlands and Islands	Highlands and Islands	Highlands and Islands
20	UKM61	UK	Caithness & Sutherland and Ross & Cromarty	Caithness & Sutherland and Ross & Cromarty	Caithness & Sutherland and Ross & Cromarty	Caithness & Sutherland and Ross & Cromarty
21	UKM62	UK	Inverness & Nairn and Moray, Badenoch & Strathspey	Inverness & Nairn and Moray, Badenoch & Strathspey	Inverness & Nairn and Moray, Badenoch & Strathspey	Inverness & Nairn and Moray, Badenoch & Strathspey
22	UKM63	UK	Lochaber, Skye & Lochalsh, Arran & Cumbrae and Argyll & Bute	Lochaber, Skye & Lochalsh, Arran & Cumbrae and Argyll & Bute	Lochaber, Skye & Lochalsh, Arran & Cumbrae and Argyll & Bute	Lochaber, Skye & Lochalsh, Arran & Cumbrae and Argyll & Bute
23	UKM64	UK	Eilean Siar (Western Isles)	Eilean Siar (Western Isles)	Eilean Siar (Western Isles)	Eilean Siar (Western Isles)
24	UKM65	UK	Orkney Islands	Orkney Islands	Orkney Islands	Orkney Islands
25	UKM66	UK	Shetland Islands	Shetland Islands	Shetland Islands	Shetland Islands
26	UKN	UK	Northern Ireland	Northern Ireland	Northern Ireland	Northern Ireland
27	UKN0	UK	Northern Ireland	Northern Ireland	Northern Ireland	Northern Ireland
28	UKN01	UK	Belfast	Belfast	Belfast	Belfast
29	UKN02	UK	Outer Belfast	Outer Belfast	Outer Belfast	Outer Belfast
30	UKN03	UK	East of Northern Ireland	East of Northern Ireland	East of Northern Ireland	East of Northern Ireland
31	UKN04	UK	North of Northern Ireland	North of Northern Ireland	North of Northern Ireland	North of Northern Ireland
32	UKN05	UK	West and South of Northern Ireland	West and South of Northern Ireland	West and South of Northern Ireland	West and South of Northern Ireland
